Wed Oct 30 10:13:48 2024: Hive (C:\1\NTUSER.DAT) is not dirty.

Wed Oct 30 10:13:48 2024: Log opened.
Wed Oct 30 10:13:48 2024: File: C:\1\NTUSER.DAT
Wed Oct 30 10:13:48 2024: Environment set up.
Wed Oct 30 10:13:49 2024: Launching activesetup v.20201230
Wed Oct 30 10:13:49 2024: Launching adobe v.20200803
Wed Oct 30 10:13:49 2024: Launching allowedenum v.20200813
Wed Oct 30 10:13:49 2024: Launching amsienable v.20210217
Wed Oct 30 10:13:49 2024: Launching appassoc v.20200813
Wed Oct 30 10:13:49 2024: Launching appcompatflags v.20220328
Wed Oct 30 10:13:49 2024: Launching appkeys v.20200813
Wed Oct 30 10:13:49 2024: Launching applets v.20201020
Wed Oct 30 10:13:49 2024: Launching apppaths v.20200813
Wed Oct 30 10:13:49 2024: Launching appspecific v.20200904
Wed Oct 30 10:13:49 2024: Launching appx v.20200904
Wed Oct 30 10:13:49 2024: Launching arpcache v.20200816
Wed Oct 30 10:13:49 2024: Launching attachmgr v.20220926
Wed Oct 30 10:13:49 2024: Launching autorun v.20221109
Wed Oct 30 10:13:49 2024: Launching bitbucket v.20221129
Wed Oct 30 10:13:50 2024: Launching blm v.20210705
Wed Oct 30 10:13:50 2024: Launching cached v.20201012
Wed Oct 30 10:13:50 2024: Launching certs v.20220926
Wed Oct 30 10:13:50 2024: Launching clipbrd v.20230419
Wed Oct 30 10:13:50 2024: Launching cmdproc v.20200904
Wed Oct 30 10:13:50 2024: Launching comdlg32 v.20200904
Wed Oct 30 10:13:50 2024: Launching compdesc v.20200904
Wed Oct 30 10:13:50 2024: Launching DDO v.20200904
Wed Oct 30 10:13:50 2024: Launching devicecache v.20221018
Wed Oct 30 10:13:50 2024: Launching disablemru v.20230710
Wed Oct 30 10:13:50 2024: Launching disabletools v.20220114
Wed Oct 30 10:13:50 2024: Launching doctoidmapping v.20201020
Wed Oct 30 10:13:50 2024: Launching elevatedinstall v.20220831
Wed Oct 30 10:13:50 2024: Launching environment v.20201113
Wed Oct 30 10:13:50 2024: Launching featureusage v.20200911
Wed Oct 30 10:13:50 2024: Launching gpohist v.20200911
Wed Oct 30 10:13:50 2024: Launching identities v.20200911
Wed Oct 30 10:13:50 2024: Launching imagefile v.20200730
Wed Oct 30 10:13:50 2024: Launching improviders v.20201015
